,시장구분,종목코드,종목명,산업분류,현재가.종가.,전일대비,시가총액.원.,일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,게시물..일련번호,총카운트
316,코스닥,29960,코엔텍,기타서비스,9930,-70,4.97E+11,2019-10-30,-,9930,492,20.18,"2,974",3.34,400,4.03,165,NA
317,코스피,145990,삼양사,음식료품,48250,-50,4.96E+11,2019-10-30,-,48250,"4,489",10.75,"102,692",0.47,1500,3.11,2172,NA
318,코스피,271980,제일약품,의약품,33650,-550,4.95E+11,2019-10-30,-,33650,142,236.97,"12,576",2.68,60,0.18,2221,NA
319,코스닥,141080,레고켐바이오,기타서비스,46500,-1000,4.93E+11,2019-10-30,-,46500,-,-,"8,473",5.49,0,0,973,NA
320,코스닥,60250,NHN한국사이버결제,IT S/W & SVC,21400,-700,4.92E+11,2019-10-30,-,21400,764,28.01,"5,053",4.24,150,0.7,507,NA
321,코스피,2270,롯데푸드,음식료품,432000,-500,4.89E+11,2019-10-30,-,432000,"46,757",9.24,"602,962",0.72,15000,3.47,1494,NA
322,코스닥,122870,와이지엔터테인먼트,오락·문화,26750,1050,4.87E+11,2019-10-30,-,26750,975,27.44,"18,407",1.45,150,0.56,909,NA
323,코스피,33180,필룩스,전기전자,6020,-250,4.79E+11,2019-10-30,-,6020,-,-,"2,962",2.03,0,0,1968,NA
324,코스피,25540,한국단자,전기전자,45950,-850,4.79E+11,2019-10-30,-,45950,"3,803",12.08,"66,337",0.69,700,1.52,1933,NA
325,코스닥,48410,현대바이오,화학,13800,0,4.78E+11,2019-10-30,-,13800,78,176.92,"1,201",11.49,0,0,380,NA
326,코스피,37560,CJ헬로,서비스업,6110,-20,4.73E+11,2019-10-30,-,6110,512,11.93,"13,677",0.45,75,1.23,1997,NA
327,코스닥,44340,위닉스,일반전기전자,26400,-600,4.72E+11,2019-10-30,-,26400,"1,159",22.78,"6,641",3.98,400,1.52,347,NA
328,코스피,2210,동성제약,의약품,17650,-500,4.60E+11,2019-10-30,-,17650,-,-,"2,322",7.6,0,0,1491,NA
329,코스닥,36540,SFA반도체,IT H/W,3205,-85,4.56E+11,2019-10-30,-,3205,90,35.61,"1,890",1.7,0,0,244,NA
330,코스닥,86520,에코프로,IT H/W,20550,-50,4.54E+11,2019-10-30,-,20550,"1,781",11.54,"8,188",2.51,0,0,713,NA
331,코스닥,183490,엔지켐생명과학,제약,57400,-1200,4.51E+11,2019-10-30,-,57400,-,-,"7,610",7.54,0,0,1040,NA
332,코스닥,35600,KG이니시스,IT S/W & SVC,16100,-50,4.49E+11,2019-10-30,-,16100,"1,276",12.62,"7,642",2.11,300,1.86,225,NA
333,코스피,272450,진에어,운수창고업,14950,150,4.49E+11,2019-10-30,-,14950,"1,482",10.09,"8,873",1.68,300,2.01,2222,NA
334,코스닥,112040,위메이드,IT S/W & SVC,26550,0,4.46E+11,2019-10-30,-,26550,-,-,"15,451",1.72,600,2.26,869,NA
335,코스닥,228760,지노믹트리,제약,22300,-300,4.46E+11,2019-10-30,-,22300,-,-,695,32.09,0,0,1177,NA
336,코스피,336260,두산퓨얼셀,전기전자,8040,1320,4.44E+11,2019-10-30,-,8040,-,-,-,-,NA,NA,2243,NA
337,코스피,2240,고려제강,철강금속,22100,-150,4.42E+11,2019-10-30,-,22100,169,130.77,"68,200",0.32,350,1.58,1493,NA
338,코스닥,78070,유비쿼스홀딩스,금융,23600,-450,4.41E+11,2019-10-30,-,23600,578,40.83,"10,481",2.25,150,0.64,644,NA
339,코스닥,263050,유틸렉스,제약,60500,-200,4.41E+11,2019-10-30,-,60500,-,-,"10,669",5.67,0,0,1242,NA
340,코스피,10050,우리종금,금융업,653,-6,4.40E+11,2019-10-30,-,653,49,13.33,468,1.4,0,0,1777,NA
341,코스피,1630,종근당홀딩스,의약품,87800,-1000,4.40E+11,2019-10-30,-,87800,"5,481",16.02,"85,685",1.02,1300,1.48,1464,NA
342,코스닥,215000,골프존,IT S/W & SVC,70000,2100,4.39E+11,2019-10-30,-,70000,"3,255",21.51,"31,061",2.25,1850,2.64,1118,NA
343,코스피,60980,한라홀딩스,금융업,41900,-250,4.39E+11,2019-10-30,-,41900,"1,232",34.01,"80,094",0.52,2000,4.77,2032,NA
344,코스피,2990,금호산업,건설업,12100,150,4.36E+11,2019-10-30,-,12100,-,-,"9,808",1.23,500,4.13,1528,NA
345,코스피,81000,일진다이아,화학,30600,-300,4.35E+11,2019-10-30,-,30600,655,46.72,"8,710",3.51,250,0.82,2073,NA
346,코스피,3530,한화투자증권,금융업,2025,0,4.34E+11,2019-10-30,-,2025,411,4.93,"5,351",0.38,0,0,1557,NA
347,코스피,2960,한국쉘석유,화학,332500,-1000,4.32E+11,2019-10-30,-,332500,"19,200",17.32,"76,578",4.34,19000,5.71,1527,NA
348,코스피,8350,남선알미늄,철강금속,3900,5,4.30E+11,2019-10-30,-,3900,228,17.11,"1,527",2.55,0,0,1733,NA
349,코스피,226320,잇츠한불,화학,19550,1050,4.29E+11,2019-10-30,-,19550,468,41.77,"19,833",0.99,150,0.77,2203,NA
350,코스피,6120,SK디스커버리,금융업,22400,-450,4.26E+11,2019-10-30,-,22400,"3,942",5.68,"71,067",0.32,600,2.68,1678,NA
351,코스닥,92040,아미코젠,음식료·담배,22100,-500,4.24E+11,2019-10-30,-,22100,"2,093",10.56,"6,632",3.33,0,0,757,NA
352,코스닥,215200,메가스터디교육,기타서비스,35850,-1050,4.24E+11,2019-10-30,-,35850,"3,508",10.22,"18,126",1.98,850,2.37,1121,NA
353,코스닥,6730,서부T&D,유통,7620,-20,4.22E+11,2019-10-30,-,7620,-,-,"11,703",0.65,0,0,28,NA
354,코스피,11160,두산건설,건설업,1280,-5,4.22E+11,2019-10-30,-,1280,-,-,"2,680",0.48,0,0,1803,NA
355,코스닥,58820,CMG제약,제약,3035,-95,4.22E+11,2019-10-30,-,3035,53,57.26,911,3.33,0,0,499,NA
356,코스피,6840,AK홀딩스,금융업,31750,-100,4.21E+11,2019-10-30,-,31750,"8,224",3.86,"63,797",0.5,750,2.36,1700,NA
357,코스닥,97520,엠씨넥스,IT H/W,23600,-400,4.19E+11,2019-10-30,-,23600,"2,161",10.92,"7,530",3.13,300,1.27,798,NA
358,코스피,84680,이월드,서비스업,4620,35,4.18E+11,2019-10-30,-,4620,103,44.85,"1,812",2.55,0,0,2080,NA
359,코스피,14830,유니드,화학,46950,-1000,4.17E+11,2019-10-30,-,46950,"4,062",11.56,"73,967",0.63,1100,2.34,1858,NA
360,코스피,126560,현대에이치씨엔,서비스업,3670,-120,4.14E+11,2019-10-30,-,3670,362,10.14,"6,326",0.58,60,1.63,2153,NA
361,코스피,25860,남해화학,화학,8310,-130,4.13E+11,2019-10-30,-,8310,175,47.49,"8,549",0.97,50,0.6,1938,NA
362,코스피,53210,스카이라이프,서비스업,8610,-80,4.12E+11,2019-10-30,-,8610,"1,085",7.94,"13,828",0.62,350,4.07,2022,NA
